,소재지(시군구)별(1),소재지(시군구)별(2),2008,2008.5,2009,2009.5,2010,2010.5,2011,2011.5,2012,2012.5,2013,2013.5,2014,2014.5,2015,2015.5,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5
0,소재지(시군구)별(1),소재지(시군구)별(2),10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상,10년미만,10년이상
1,소재지(시군구)별(1),소재지(시군구)별(2),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b),계(a+b)
108,경상북도,영양군,10604450,0,3227450,0,3227450,0,3227450,0,3227450,0,3227450,0,3121155,0,3121155,0,3325967,0,3325967,0,859726,2466241,859726,2466241,859726,2466241
109,경상북도,영덕군,-,-,-,-,0,6700,0,6700,0,6700,0,6700,0,6700,0,6700,0,6700,0,6700,0,6700,-,-,-,-
110,경상북도,성주군,0,152052,0,152052,0,152052,0,148592,0,148592,0,148592,0,148592,0,148592,-,-,-,-,-,-,-,-,-,-
111,경상북도,칠곡군,-,-,-,-,-,-,-,-,-,-,-,-,0,10094,0,10094,0,10094,0,10094,-,-,-,-,-,-
112,경상북도,봉화군,0,61143,0,61143,0,61143,0,61143,0,61143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,경상북도,울진군,0,128777,-,-,13345,0,13555,0,13555,0,0,13555,0,13555,0,13555,0,13555,13383,0,-,-,-,-,-,-
114,경상북도,울릉군,47575,0,47575,0,38602,0,38602,0,38602,0,38602,0,300617,0,300617,0,300617,0,167609,133008,167609,133008,167609,133008,167609,133008
115,경상남도,소계,11016366,2577796,13044684,2832976,13278288,2878639,16541388,3582147,16370477,2690952,17850180,3643952,17859942,3436294,17970692,3436294,17800160,3459207,17171573,3553486,4655537,13953645,2637289,16094498,1862300,13531053
116,경상남도,창원시,7560,0,-,-,50958,0,50958,0,50958,0,68745,0,24192,24852,181553,24852,0,47765,0,47765,0,47765,0,35355,0,35355
117,경상남도,마산시,51070,0,51070,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,경상남도,진주시,27247,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12974,0,12974,0,12974,0,12974,0
119,경상남도,사천시,-,-,-,-,30240,0,40920,0,40920,0,47442,0,50755,0,50755,0,61776,0,7505,0,-,-,6522,0,6522,0
120,경상남도,김해시,17171,0,17171,0,17171,0,35710,0,35710,0,35710,0,35710,0,52384,0,52384,0,52384,0,20035,35710,20035,35710,20035,35710
121,경상남도,밀양시,28950,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,경상남도,거제시,110296,9770,110296,9770,313772,60190,81254,292708,73922,300040,1288902,300040,1528941,62011,1528953,62011,1528953,62011,1528953,61838,-,-,-,-,-,-
123,경상남도,양산시,0,432294,0,432294,0,427537,1740003,898527,1686145,0,1686145,0,1519379,0,1519379,0,1519379,0,1537649,0,1519379,11378,1519379,11378,1519379,11378
124,경상남도,고성군,27322,0,789402,0,789402,0,789370,0,679649,0,679649,0,679649,0,671448,0,671448,0,648962,22486,648951,22486,0,692227,0,678148
125,경상남도,남해군,-,-,1585175,0,1585175,0,2810009,0,2810009,0,2800690,0,2800690,0,2734074,0,2734074,0,2222966,0,1427474,795492,51655,2119647,51655,2094541
126,경상남도,거창군,10746750,2135732,10491570,2390912,10491570,2390912,10491570,2390912,10491570,2390912,10741303,3343912,10719032,3349431,10730552,3349431,10730552,3349431,10658586,3421397,1026724,13040814,1026724,13200181,250205,10675921
127,경상남도,합천군,-,-,-,-,-,-,501594,0,501594,0,501594,0,501594,0,501594,0,501594,0,501594,0,-,-,-,-,-,-
128,경상남도,창녕군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1530,0
129,제주특별자치도,소계,80356,17422,80356,17422,27751,70027,27751,70027,27751,70027,27751,70027,27751,70027,27751,70027,27751,70027,27751,70027,-,97778,-,46627,-,46627
130,제주특별자치도,제주시,80356,15830,80356,15830,27751,68435,27751,68435,27751,68435,27751,68435,27751,68435,27751,68435,27751,68435,27751,68435,0,96186,0,45035,0,45035
131,제주특별자치도,서귀포시,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592,0,1592
